# Archiver,,,,,
7-Zip,7zip.7zip,https://7-zip.org/,,https://sourceforge.net/projects/sevenzip/files/7-Zip/,a file archiver with a high compression ratio
7-Zip-zstd,mcmilk.7zip-zstd,https://github.com/mcmilk/7-Zip-zstd/releases/latest,https://github.com/mcmilk/7-Zip-zstd/releases/latest,,"7-Zip with support for Brotli, Fast-LZMA2, Lizard, LZ4, LZ5 and Zstandard"
NanaZip,M2Team.NanaZip,https://github.com/M2Team/NanaZip,https://sourceforge.net/projects/nanazip/files/latest/download,,7-Zip derivative intended for the modern Windows experience
PeaZip,Giorgiotani.Peazip,https://github.com/peazip/PeaZip,https://github.com/peazip/PeaZip/releases/latest,,free file archiver utility.
RinRaR,RARLab.WinRAR,https://www.rarlab.com/,,,a powerful archive manager.
