# File Management,,,,,
FreeFileSync,,https://github.com/Forger125/FreeFileSync,,,Synchronize Files and Folders
WinSCP, WinSCP.WinSCP,https://github.com/winscp/winscp,,,free SFTP and FTP client for Windows
