# Media,,,,,
Handbrake,HandBrake.HandBrake,https://github.com/HandBrake/HandBrake,https://handbrake.fr/downloads.php,,Open Source Video Transcoder
MKVToolNix,MoritzBunkus.MKVToolNix,https://mkvtoolnix.download/source.html,https://mkvtoolnix.download/downloads.html#windows,,a collection of tools for the Matroska media container format
VLC,VideoLAN.VLC,https://www.videolan.org/vlc/,,,VLC media player
