# Web Browser,,,,,
LibreWolf,LibreWolf.LibreWolf,https://librewolf.net/,,https://codeberg.org/librewolf,A custom version of Firefox
Mozzila Firefox,Mozilla.Firefox,https://www.mozilla.org/firefox/new,https://www.mozilla.org/en-US/firefox/all/,https://github.com/mozilla/,a free and open-source[11] web browser developed by the Mozilla
Mullvad Browser,,https://mullvad.net/en/browser,,https://github.com/mullvad/mullvad-browser,"Privacy-focused browser for Linux, macOS and Windows. Made in collaboration between @torproject and @mullvad"
Thorium WinUpdater,,https://github.com/ltguillaume/thorium-winupdater,https://github.com/ltguillaume/thorium-winupdater/releases/latest,,(automatic) updating of https://thorium.rocks for Windows
Thorium,,https://thorium.rocks/,,https://github.com/Alex313031/thorium,Chromium fork
Tor Browser,,https://www.torproject.org,,,Tor Browser
IDM,Tonec.InternetDownloadManager,https://www.internetdownloadmanager.com/,,,download manager
